Status,Declaration Name,File Path,Line Number,Last Modified,Age (Months),Age (Days),Last Commit
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",285,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",302,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",319,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",336,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",353,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",370,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Heading","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",388,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"BlockQuote","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",416,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"List","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",448,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Ordered","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",469,2025-08-05,5,155,"9d24a4acc273a6a23fd72fbb740445d1c4af3539"
⚠️,"Ordered","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",524,2025-08-05,5,155,"9d24a4acc273a6a23fd72fbb740445d1c4af3539"
⚠️,"Ordered","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",551,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
⚠️,"Unordered","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",579,2025-08-05,5,155,"9d24a4acc273a6a23fd72fbb740445d1c4af3539"
⚠️,"Unordered","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",626,2025-08-05,5,155,"9d24a4acc273a6a23fd72fbb740445d1c4af3539"
⚠️,"Unordered","markdown/int-ui-standalone-styling/src/main/kotlin/org/jetbrains/jewel/intui/markdown/standalone/styling/IntUiMarkdownStyling.kt",649,2025-07-18,5,173,"f50abc6062773c82daa76b757ad1bb199ce05b1e"
